"docid" "Reference"
"572ff17dcf58f146ab479ce6" "Enrique Merino (2), 1975, Diagenesis in Tertiary Sandstones from Kettleman North Dome, California. I. Diagenetic Mineralogy, SEPM Journal of Sedimentary Research, Vol. 45, , , 10.1306/212f6d52-2b24-11d7-8648000102c1865d"
"5778d1c5cf58f145143b0b4d" "HEALD, MILTON T., 1950, STRUCTURE AND PETROLOGY OF THE LOVEWELL MOUNTAIN QUADRANGLE, NEW HAMPSHIRE, Geol Soc America Bull, 61, 1, 43, 10.1130/0016-7606(1950)61[43:sapotl]2.0.co;2"
"5a2d1adecf58f1a7450150f8" "Fauchille, A.L.; Ma, L.; Rutter, E.; Chandler, M.; Lee, P.D.; Taylor, K.G., 2017, An enhanced understanding of the Basinal Bowland shale in Lancashire (UK), through microtextural and mineralogical observations, Marine and Petroleum Geology, 86, , 1374--1390, 10.1016/j.marpetgeo.2017.07.030"
"57a103fbcf58f1a744202a82" "Lao-Davila, D. A.; Llerandi-Roman, P. A.; Anderson, T. H., 2012, Cretaceous-Paleogene thrust emplacement of serpentinite in southwestern Puerto Rico, Geological Society of America Bulletin, 124, 7-8, 1169--1190, 10.1130/b30630.1"
"5cb4a3e04e85ba2e7cc62337" "Uwaoma, R.C.; Strydom, C.A.; Matjie, R.H.; Bunt, J.R.; van Dyk, J.C, NA, The influence of the roof and floor geological structures on the ash composition produced from coal at UCG temperatures, International Journal of Coal Preparation and Utilization, , , 1--19, 10.1080/19392699.2018.1479260"
"55c972e6cf58f1a8110ba95c" "Schoepfer, Shane D.; Henderson, Charles M.; Garrison, Geoffrey H.; Foriel, Julien; Ward, Peter D.; Selby, David; Hower, James C.; Algeo, Thomas J.; Shen, Yanan, 2013, Termination of a continent-margin upwelling system at the Permian–Triassic boundary (Opal Creek, Alberta, Canada), Global and Planetary Change, , , 21--35, 10.1016/j.gloplacha.2012.07.005"
"557f7c5be13823bc80ba270b" "Goldfarb, R. J.; Borden, J. Carter; Winkler, Gary R., 1995, Geochemical survey of the Valdez 1 degree X 3 degrees quadrangle, south-central Alaska, Bulletin, , , , "
"58cdd117cf58f121db23696f" "Zhu, Wenyi; Reinfelder, John R., 2012, The Microbial Community of a Black Shale Pyrite Biofilm and its Implications for Pyrite Weathering, Geomicrobiology Journal, 29, 2, 186--193, 10.1080/01490451.2010.539663"
"55916189e13823109f3ef56d" "Bell, Henry; Post, Edwin Van Horn, 1971, Geology of the Flint Hill Quadrangle, Fall River County, South Dakota, Bulletin, , , , "
"56c1ddfccf58f15c72c907ad" "BAKER, JULIAN C., 1991, Diagenesis and reservoir quality of the Aldebaran Sandstone, Denison Trough, east-central Queensland, Australia, Sedimentology, 38, 5, 819--838, 10.1111/j.1365-3091.1991.tb01874.x"
"5598a9f8e1382390cc640ecc" "Solomon, M.; Tornos, F.; Large, R.R.; Badham, J.N.P.; Both, R.A.; Zaw, Khin, 2004, Zn–Pb–Cu volcanic-hosted massive sulphide deposits: criteria for distinguishing brine pool-type from black smoker-type sulphide deposition, Ore Geology Reviews, 25, 3-4, 259--283, 10.1016/j.oregeorev.2004.01.003"
"58ac6b47cf58f1a49636379c" ", 2013, Session 1 – Tectonic evolution and metallogenic potential throughout earth history, Applied Earth Science, 112, 2, 107--131, 10.1179/037174503225001604"
"54b43245e138239d86849683" "Baird, Gordon C.; Brett, Carlton E., 1986, Erosion on an anaerobic seafloor: Significance of reworked pyrite deposits from the Devonian of New York state, Palaeogeography, Palaeoclimatology, Palaeoecology, 57, 2-4, 157--193, 10.1016/0031-0182(86)90012-X"
"558f0af7e13823109f3ee736" "Harwood, David S.; Fisher, G. Reid, Jr.; Waugh, Barbara J., 1995, Geologic map of the Duncan Peak and southern part of the Cisco Grove 7 1/2' quadrangles, Placer and Nevada Counties, California, IMAP, , , , "
"54b43276e138239d86851eec" "Alberdi-Genolet, M.; Cavallaro, A.; Hernandez, N.; Crosta, D.E.; Martinez, L., 2013, Magmatic events and sour crude oils in the Malargüe area of the Neuquén Basin, Argentina, Marine and Petroleum Geology, , , 48--62, 10.1016/j.marpetgeo.2012.11.005"
"55b3fd36e138231cbdd6d4ee" "Swanson, Roger Warren, 1970, Mineral resources in Permian rocks of southwest Montana, Professional Paper, , , , 10.3133/pp313E"
