"","edge","span","mid","variable","Type.5","Type.1","Type.2","Type.3","Type.4"
"90",1925,30,1910,"min",0.0531811515146882,0.168118111165553,0.561675881810796,0.0833832834740346,0.0214068978925259
"91",1925,30,1910,"max",0.0854689004063918,0.220009268550612,0.624153124765874,0.135384456228284,0.0472189241912402
"92",1975,50,1950,"mean",0.0905960539979232,0.147206645898235,0.645885773624091,0.0667206645898235,0.0495908618899273
"93",1975,50,1950,"min",0.0681821707533308,0.106849483418081,0.604714913691893,0.0385471138523208,0.0330026098935937
"94",1975,50,1950,"max",0.113009937242516,0.187563808378389,0.687056633556289,0.0948942153273261,0.0661791138862609
"95",2085,110,2030,"mean",0.0949098461247994,0.110708014726706,0.635358255451713,0.0484083828943642,0.110615500802417
"96",2085,110,2030,"min",0.0522058438963856,0.00323279318283441,0.508000933766099,0.0137650831709329,0.0594488722714785
"97",2085,110,2030,"max",0.137613848353213,0.218183236270578,0.762715577137328,0.0830516826177955,0.161782129333355
"98",2235,150,2160,"mean",0.011447559709242,0.598608515057113,0.254169608861198,0.0835022499134649,0.0522720664589823
"99",2235,150,2160,"min",0,0.327060459359862,0.120552649316037,0.0175508310194791,0
"100",2235,150,2160,"max",0.03824756442897,0.870156570754365,0.387786568406358,0.149453668807451,0.130346545237651
"101",2400,165,2317.5,"mean",0.000269378779549203,0.763599657931708,0.206598863844603,0.0249679310976727,0.00456416834646631
"102",2400,165,2317.5,"min",0,0.566880234391989,0,0,0
"103",2400,165,2317.5,"max",0.00136935619933216,0.960319081471428,0.45381232930183,0.103822381623315,0.0115683855505742
"104",2510,110,2455,"mean",0.00018502784857925,0.372458227131124,0.0353186066270178,0.566065326158784,0.0259728122344945
"105",2510,110,2455,"min",0,0.000302789817818339,0,0.159849016950391,0.00652004798792933
"106",2510,110,2455,"max",0.00129351331346744,0.74461366444443,0.153946760305273,0.972281635367178,0.0454255764810596
"107",2530,20,2520,"mean",0.00166666666666667,0.5033748701973,0.419994807892004,0.0704205607476635,0.00454309449636552
"108",2530,20,2520,"min",0,0.439868527932472,0.272325619695142,0,0
"109",2530,20,2520,"max",0.00442802013104196,0.566881212462129,0.567663996088867,0.152610075808038,0.0116325982950306
"110",2550,20,2540,"mean",0.00537383177570093,0.413727933541018,0.57223779854621,0.00843198338525441,0.000228452751817238
"111",2550,20,2540,"min",0,0.389061637107403,0.549641912701538,0.00174810084664711,0
"112",2550,20,2540,"max",0.0132539005731427,0.438394229974632,0.594833684390882,0.0151158659238617,0.00133331591304298
"113",2570,20,2560,"mean",6.74974039460021e-05,0.595955347871236,0.378177570093458,0.0152647975077882,0.0105347871235722
"114",2570,20,2560,"min",0,0.319320874556125,0.0509439762300412,0,0
"115",2570,20,2560,"max",0.000580777769919801,0.872589821186347,0.705411163956875,0.0459671656001578,0.0326500887242127
"116",2620,50,2595,"mean",0.0831069574247144,0.324510903426791,0.250560747663551,0.265833852544133,0.07598753894081
"117",2620,50,2595,"min",0.0113240864365184,0.206623788179582,0.179989898085974,0.186392815160514,0.00835722482040023
"118",2620,50,2595,"max",0.15488982841291,0.442398018674001,0.321131597241129,0.345274889927752,0.14361785306122
"119",2670,50,2645,"mean",0.0190404984423676,0.530758047767394,0.269109034267913,0.099993769470405,0.0810986500519211
"120",2670,50,2645,"min",0,0.219312726692765,0.151000418148318,0,0
"121",2670,50,2645,"max",0.0586058037923637,0.842203368842023,0.387217650387507,0.236385889150685,0.195819356558858
"122",2685,15,2677.5,"mean",0,0.904589823468328,0.0954101765316719,0,0
"123",2685,15,2677.5,"min",0,0.890169938040629,0.0809902911039724,0,0
"124",2685,15,2677.5,"max",0,0.919009708896028,0.109830061959371,0,0
"125",2810,125,2747.5,"mean",0.00186196980589504,0.824446042016135,0.142456266474958,0.0108139627765796,0.0204217589264318
"126",2810,125,2747.5,"min",0,0.528009606045123,0,0.00431314279647965,0
"127",2810,125,2747.5,"max",0.00450847158100944,1,0.451582461271346,0.0173147827566796,0.0437511460450367
"128",2950,140,2880,"mean",0.000749888740542946,0.354481530930129,0.584010532561934,0.010327844533452,0.0504302032339416
"129",2950,140,2880,"min",0,0,0,0,0
"130",2950,140,2880,"max",0.00269163614642769,0.965933555947281,1,0.0251672517728485,0.111463044278328
"131",2975,25,2962.5,"mean",0,0.0928296988577362,0.907170301142264,0,0
"132",2975,25,2962.5,"min",0,0.0690305299326755,0.883371132217203,0,0
"133",2975,25,2962.5,"max",0,0.116628867782797,0.930969470067324,0,0
"134",3000,25,2987.5,"mean",0,0.462225683627553,0.536600899965386,0.000861889927310488,0.000311526479750779
"135",3000,25,2987.5,"min",0,0,0.0392678107902485,0,0
"136",3000,25,2987.5,"max",0,0.956551755418996,1,0.00392951154956924,0.0016435769190391
"137",3110,110,3055,"mean",0.00057396393844992,0.650604172566789,0.125446049277825,0.173276692155197,0.0500991220617389
"138",3110,110,3055,"min",0,0.555785620305303,0.100048547011331,0.113631904357649,0.0136433651043744
"139",3110,110,3055,"max",0.00231680995857908,0.745422724828276,0.150843551544319,0.232921479952745,0.0865548790191034
"140",3310,200,3210,"mean",0.00228452751817238,0.475907061266874,0.26481308411215,0.146583073727934,0.11041225337487
