,framboids,nodules,undif,seds,Age
530,3,0,25,210,529
531,3,0,25,210,530
532,3,0,23,210,531
533,3,0,23,209,532
534,3,0,23,213,533
535,3,0,23,211,534
536,3,0,22,200,535
537,3,0,21,194,536
538,2,0,21,185,537
539,2,0,21,185,538
540,2,0,21,182,539
541,2,0,21,181,540
543,4,0,41,366,541
544,5,1,22,197,551
545,6,0,19,195,561
546,6,0,22,198,571
547,6,0,25,194,581
548,6,0,24,191,591
549,6,4,25,188,601
550,4,1,23,171,611
551,4,0,23,163,621
552,1,1,33,287,631
553,3,1,32,291,641
554,1,0,35,295,651
555,1,0,36,292,661
556,0,0,36,291,671
557,1,0,34,290,681
558,0,0,29,278,691
559,0,0,29,271,701
560,0,0,14,153,711
561,0,0,12,156,721
562,0,0,12,154,731
563,0,0,12,158,741
564,0,0,14,158,751
565,0,0,17,161,761
566,0,0,15,157,771
567,1,0,16,157,781
568,1,0,14,154,791
569,4,0,12,155,801
570,5,0,12,157,811
571,5,0,14,160,821
572,5,0,12,158,831
573,5,0,12,163,841
574,3,0,13,160,851
575,3,0,12,159,861
576,3,0,12,160,871
577,3,0,15,162,881
578,3,0,16,165,891
579,3,0,17,167,901
580,3,0,16,166,911
581,1,0,16,162,921
582,1,0,16,162,931
583,1,0,13,159,941
584,1,0,11,154,951
585,1,0,10,163,961
586,1,0,10,163,971
587,1,0,10,164,981
588,2,1,21,259,991
589,2,1,21,258,1001
590,3,1,22,261,1011
591,2,1,23,262,1021
592,2,1,22,263,1031
593,2,1,22,263,1041
594,3,1,22,263,1051
595,3,1,22,263,1061
596,3,1,22,262,1071
597,2,1,23,258,1081
598,2,1,24,259,1091
599,2,1,24,258,1101
600,2,1,24,257,1111
601,2,1,25,256,1121
602,2,1,25,256,1131
603,2,1,26,264,1141
604,2,1,26,265,1151
605,2,1,26,264,1161
606,2,1,25,262,1171
607,2,1,27,263,1181
608,1,1,28,255,1191
609,1,1,28,254,1201
610,1,1,29,253,1211
611,1,1,29,253,1221
612,1,1,31,256,1231
613,1,1,29,252,1241
614,1,1,28,252,1251
615,1,1,28,248,1261
616,1,1,27,245,1271
617,1,1,28,249,1281
618,1,1,27,248,1291
619,1,1,27,247,1301
620,1,1,27,253,1311
621,1,1,27,253,1321
622,1,1,27,255,1331
623,1,1,29,253,1341
624,1,1,29,258,1351
625,1,1,29,253,1361
626,1,1,29,256,1371
627,1,1,29,256,1381
628,2,2,32,363,1391
629,2,2,34,368,1401
630,4,2,33,374,1411
631,4,2,36,376,1421
632,4,2,40,373,1431
633,4,2,32,368,1441
634,4,2,31,371,1451
635,4,2,29,366,1461
636,4,2,31,365,1471
637,4,2,31,363,1481
638,4,2,31,362,1491
639,4,2,30,362,1501
640,4,2,31,364,1511
641,4,2,31,363,1521
642,4,2,32,364,1531
643,2,2,31,359,1541
644,2,2,31,359,1551
645,2,2,30,351,1561
646,2,2,30,350,1571
647,2,2,32,352,1581
648,7,5,87,694,1591
649,7,5,86,693,1601
650,7,5,87,695,1611
651,7,5,89,697,1621
652,7,5,93,703,1631
653,7,5,92,704,1641
654,7,5,92,704,1651
655,7,5,91,701,1661
656,7,5,88,704,1671
657,7,6,88,709,1681
658,7,6,87,708,1691
659,7,6,87,707,1701
660,7,6,88,708,1711
661,7,6,86,706,1721
662,7,6,84,703,1731
663,8,7,83,704,1741
664,8,7,83,703,1751
665,8,7,83,704,1761
666,8,6,85,705,1771
667,8,6,84,704,1781
668,6,5,58,518,1791
669,6,5,57,517,1801
670,7,5,56,523,1811
671,7,5,56,524,1821
672,7,5,59,531,1831
673,9,5,62,535,1841
674,9,5,62,536,1851
675,7,5,63,533,1861
676,7,5,60,535,1871
677,7,5,60,530,1881
678,6,4,61,527,1891
679,6,4,59,524,1901
680,6,4,60,525,1911
681,6,4,60,526,1921
682,6,4,59,525,1931
683,5,4,59,522,1941
684,5,4,55,515,1951
685,5,4,56,514,1961
686,5,4,57,514,1971
687,5,4,55,509,1981
688,6,4,55,512,1991
689,5,4,55,510,2001
690,5,4,55,508,2011
691,5,4,57,509,2021
692,5,4,55,508,2031
693,4,4,37,318,2041
694,4,4,36,318,2051
695,4,4,37,317,2061
696,5,4,37,317,2071
697,4,4,37,316,2081
698,4,4,36,318,2091
699,4,4,37,318,2101
