,edge,span,mid,variable,Type.5,Type.1,Type.2,Type.3,Type.4
102,308,2,307,max,0.720710786,0.002521168,0.164986161,0.109466534,0.105490226
103,309,1,308.5,mean,0.736012461,0.000612669,0.104101765,0.076998962,0.082274143
104,309,1,308.5,min,0.71907161,0,0.089990049,0.065526846,0.067636621
105,309,1,308.5,max,0.752953312,0.002149215,0.118213482,0.088471077,0.096911666
106,319,10,314,mean,0.847143302,0.00058567,0.05354621,0.056643821,0.042080997
107,319,10,314,min,0.772182111,0,0.016377907,0.039967641,0.009816399
108,319,10,314,max,0.922104493,0.002154304,0.090714512,0.073320002,0.074345595
109,330,11,324.5,mean,0.790318135,0.003134145,0.030311526,0.11663457,0.059601624
110,330,11,324.5,min,0.615606493,0,0.00670314,0,0.024486551
111,330,11,324.5,max,0.965029777,0.007621063,0.053919913,0.238530129,0.094716696
112,332,2,331,mean,0.486064382,0.009008307,0.073011423,0.33017134,0.101744548
113,332,2,331,min,0.388988285,0.001617929,0.055130717,0.263577051,0.07933564
114,332,2,331,max,0.58314048,0.016398686,0.090892129,0.396765628,0.124153456
115,336,4,334,mean,0.201048806,0.039714434,0.102780374,0.511066978,0.145389408
116,336,4,334,min,0.013905097,0.007784302,0.07736288,0.395190848,0.115447225
117,336,4,334,max,0.388192515,0.071644566,0.128197867,0.626943108,0.175331591
118,338,2,337,mean,0.033836968,0.087222222,0.101838006,0.614241952,0.162860852
119,338,2,337,min,0.0094127,0.061394252,0.079905646,0.588252121,0.143227861
120,338,2,337,max,0.058261235,0.113050192,0.123770367,0.640231783,0.182493842
121,340,2,339,mean,0.008556594,0.147673936,0.069890966,0.60992731,0.163951194
122,340,2,339,min,0.001325416,0.106595363,0.050166095,0.581985824,0.145389144
123,340,2,339,max,0.015787772,0.188752509,0.089615837,0.637868797,0.182513245
124,344,4,342,mean,0.002284528,0.244345794,0.059000519,0.465041537,0.229327622
125,344,4,342,min,0,0.19527369,0.031134479,0.31687428,0.140229624
126,344,4,342,max,0.005704565,0.293417899,0.08686656,0.613208794,0.31842562
127,350,6,347,mean,0.002405677,0.217097612,0.091197646,0.362156456,0.32714261
128,350,6,347,min,0,0.159387861,0.050546445,0.219455876,0.258830356
129,350,6,347,max,0.005831476,0.274807363,0.131848848,0.504857035,0.395454864
130,351,1,350.5,mean,0.001308411,0.142004154,0.049636552,0.643198339,0.163852544
131,351,1,350.5,min,0,0.124395467,0.037828967,0.621963142,0.145927714
132,351,1,350.5,max,0.003587688,0.15961284,0.061444138,0.664433535,0.181777374
133,354,3,352.5,mean,0.15275874,0.111529941,0.060841121,0.531488404,0.143381793
134,354,3,352.5,min,0,0.080427531,0.045789574,0.164759644,0.095543145
135,354,3,352.5,max,0.491210273,0.142632352,0.075892669,0.898217164,0.191220441
136,356,2,355,mean,0.137736241,0.204060228,0.090529595,0.422502596,0.14517134
137,356,2,355,min,0,0.025892894,0.046954042,0.275577765,0
138,356,2,355,max,0.355752344,0.382227563,0.134105148,0.569427428,0.292845548
139,358,2,357,mean,0.022429907,0.165519211,0.142398754,0.455436137,0.214215992
140,358,2,357,min,0.011764582,0.140396221,0.083885118,0.429186323,0.151137086
141,358,2,357,max,0.033095231,0.190642201,0.20091239,0.481685951,0.277294898
142,362,4,360,mean,0.002580478,0.404875389,0.134332814,0.452066459,0.00614486
143,362,4,360,min,0,0.336565128,0.053628248,0.336582223,0
144,362,4,360,max,0.007324517,0.473185651,0.21503738,0.567550695,0.020256871
145,366,4,364,mean,4.15E-05,0.234312046,0.015820353,0.749579439,0.000246625
146,366,4,364,min,0,0.166046878,0,0.662507798,0
147,366,4,364,max,0.000449023,0.302577213,0.038668683,0.836651081,0.00136855
148,368,2,367,mean,1.04E-05,0.283707165,0.009865005,0.706137072,0.000280374
149,368,2,367,min,0,0.252214002,0.0027008,0.67218809,0
150,368,2,367,max,0.000217546,0.315200329,0.01702921,0.740086054,0.001434178
151,369,1,368.5,mean,0.000249221,0.287403946,0.016895119,0.694205607,0.001246106
152,369,1,368.5,min,0,0.260537059,0.008320102,0.667934592,0
153,369,1,368.5,max,0.001188277,0.314270833,0.025470137,0.720476623,0.003698135
154,370,1,369.5,mean,0.001194185,0.264870197,0.024537902,0.706261682,0.003136033
155,370,1,369.5,min,0,0.240741708,0.0153317,0.683372291,0
156,370,1,369.5,max,0.003309997,0.288998687,0.033744105,0.729151074,0.006603475
157,372,2,371,mean,0.006708204,0.23482866,0.037616822,0.707757009,0.013089304
158,372,2,371,min,0.000753963,0.205086567,0.023058155,0.68799776,0.001214475
159,372,2,371,max,0.012662444,0.264570754,0.05217549,0.727516258,0.024964133
160,374,2,373,mean,0.014226376,0.196703011,0.058125649,0.679013499,0.051931464
161,374,2,373,min,0.006259965,0.168581057,0.042341205,0.647469997,0.019069943
162,374,2,373,max,0.022192787,0.224824966,0.073910093,0.710557002,0.084792985
163,376,2,375,mean,0.015893043,0.154075805,0.077502596,0.616588785,0.135939772
164,376,2,375,min,0.007917937,0.12569148,0.060648008,0.571107233,0.077735188
165,376,2,375,max,0.023868148,0.182460129,0.094357184,0.662070337,0.194144355
166,377,1,376.5,mean,0.023551402,0.126915888,0.096095535,0.5198027,0.233634476
167,377,1,376.5,min,0.014696303,0.111161,0.079714717,0.500806484,0.212885993
168,377,1,376.5,max,0.032406501,0.142670776,0.112476352,0.538798916,0.254382958
169,378,1,377.5,mean,0.047943925,0.112045691,0.116604361,0.401547248,0.321858775
170,378,1,377.5,min,0.036099296,0.094256994,0.099242555,0.38105187,0.297530465
171,378,1,377.5,max,0.059788554,0.129834387,0.133966168,0.422042626,0.346187084
172,380,2,379,mean,0.145550363,0.071874351,0.139008307,0.215649013,0.427917965
173,380,2,379,min,0.052263901,0.040893768,0.12161763,0.104067168,0.376003866
174,380,2,379,max,0.238836826,0.102854934,0.156398985,0.327230859,0.479832063
175,382,2,381,mean,0.261531672,0.0355919,0.097658359,0.090488058,0.51473001
176,382,2,381,min,0.24046132,0.022159923,0.064486124,0.062714633,0.457740408
177,382,2,381,max,0.282602023,0.049023877,0.130830595,0.118261484,0.571719612
178,383,1,382.5,mean,0.261474559,0.029127726,0.066998962,0.066386293,0.576012461
179,383,1,382.5,min,0.239408269,0.017800845,0.050461807,0.051819185,0.55194138
180,383,1,382.5,max,0.283540848,0.040454607,0.083536116,0.080953401,0.600083543
181,384,1,383.5,mean,0.275503634,0.031433022,0.062471443,0.069626168,0.560965732
182,384,1,383.5,min,0.255806068,0.020790402,0.049858449,0.055858253,0.538841677
183,384,1,383.5,max,0.295201201,0.042075642,0.075084438,0.083394083,0.583089787
184,385,1,384.5,mean,0.309387331,0.038504673,0.073800623,0.095192108,0.483115265
185,385,1,384.5,min,0.288111509,0.027504432,0.059603091,0.081340022,0.457459022
186,385,1,384.5,max,0.330663154,0.049504914,0.087998155,0.109044194,0.508771507
187,386,1,385.5,mean,0.356396677,0.041931464,0.084807892,0.123561786,0.393302181
188,386,1,385.5,min,0.335454236,0.030461609,0.069566113,0.107647546,0.3683864
189,386,1,385.5,max,0.377339118,0.05340132,0.100049671,0.139476026,0.418217961
190,388,2,387,mean,0.454278297,0.035846314,0.092066459,0.16731568,0.25049325
191,388,2,387,min,0.37710146,0.023998781,0.076201201,0.135657533,0.155597576
192,388,2,387,max,0.531455133,0.047693846,0.107931717,0.198973828,0.345388925
193,390,2,389,mean,0.66278297,0.007523364,0.071033229,0.16761163,0.091048806
194,390,2,389,min,0.530523765,0,0.047418562,0.127339506,0.024252878
195,390,2,389,max,0.795042174,0.018647263,0.094647897,0.207883755,0.157844734
196,392,2,391,mean,0.82751298,0.000643821,0.041895119,0.081843198,0.048104881
197,392,2,391,min,0.807549779,0,0.028863389,0.057274,0.026457579
198,392,2,391,max,0.847476182,0.00238031,0.054926849,0.106412396,0.069752182
199,393,1,392.5,mean,0.779989616,0.001599169,0.072461059,0.083229491,0.062720665
200,393,1,392.5,min,0.760037209,0,0.058013102,0.06652224,0.048002567
201,393,1,392.5,max,0.799942023,0.003588581,0.086909016,0.099936742,0.077438762
202,394,1,393.5,mean,0.886926272,0.000415369,0.033987539,0.051786085,0.026884735
203,394,1,393.5,min,0.871234242,0,0.024427518,0.039001766,0.017099321
204,394,1,393.5,max,0.902618302,0.00170207,0.04354756,0.064570404,0.036670149
205,398,4,396,mean,0.97959242,3.89E-05,0.000433541,0.018987539,0.00094756
206,398,4,396,min,0.958742765,0,0,0,0
207,398,4,396,max,1,0.000434001,0.001841117,0.040610136,0.003412244
208,405,7,401.5,mean,0.954641745,0.000216585,0.000556297,0.044503783,8.16E-05
209,405,7,401.5,min,0.939227185,0,0,0.028596043,0
210,405,7,401.5,max,0.970056304,0.001110675,0.002111788,0.060411523,0.000683325
211,412,7,408.5,mean,0.817424714,0.000519211,0.01270138,0.168598131,0.000756564
212,412,7,408.5,min,0.641034241,0,0,0.023685707,0
213,412,7,408.5,max,0.993815188,0.002379783,0.046137883,0.313510555,0.003251088
214,416,4,414,mean,0.555820353,0.004402908,0.102904984,0.322497404,0.014374351
215,416,4,414,min,0.438258634,0,0.057608028,0.264167021,0
216,416,4,414,max,0.673382072,0.010609064,0.148201941,0.380827786,0.030504149
217,418,2,417,mean,0.405820353,0.015934579,0.146142264,0.401386293,0.030716511
218,418,2,417,min,0.352182604,0.00579517,0.1267775,0.365646514,0.020052487
219,418,2,417,max,0.459458102,0.026073989,0.165507028,0.437126071,0.041380535
220,426,8,422,mean,0.19382918,0.073925234,0.11894081,0.586562825,0.026741952
221,426,8,422,min,0.016178869,0.012163872,0.061095858,0.398141156,0.007647199
222,426,8,422,max,0.37147949,0.135686596,0.176785762,0.774984493,0.045836705
223,434,8,430,mean,0.031399273,0.173193146,0.048259346,0.738504673,0.008643562
224,434,8,430,min,0.002701067,0.114048677,0.016700181,0.718465398,0.002087052
225,434,8,430,max,0.060097479,0.232337616,0.079818511,0.758543947,0.015200072
226,438,4,436,mean,0.013907061,0.240173936,0.019579439,0.720921599,0.005417965
227,438,4,436,min,0.007307178,0.20287675,0.010874544,0.676755007,4.95E-05
228,438,4,436,max,0.020506944,0.277471121,0.028284335,0.765088192,0.010786473
229,442,4,440,mean,0.020817757,0.291344756,0.031425234,0.643564382,0.012847871
230,442,4,440,min,0.012727879,0.267448263,0.015906032,0.604826607,0.002987766
231,442,4,440,max,0.028907635,0.315241249,0.046944435,0.682302157,0.022707977
232,444,2,443,mean,0.025285566,0.272497404,0.053312565,0.623920042,0.024984424
233,444,2,443,min,0.017007598,0.244885025,0.037987962,0.603145581,0.014332032
234,444,2,443,max,0.033563534,0.300109783,0.068637168,0.644694502,0.035636815
235,448,4,446,mean,0.030706127,0.213302181,0.083971963,0.629633956,0.042385774
236,448,4,446,min,0.020404984,0.164868007,0.055084766,0.608580307,0.02370093
237,448,4,446,max,0.04100727,0.261736354,0.11285916,0.650687606,0.061070617
238,452,4,450,mean,0.037962098,0.159400312,0.119029076,0.593782451,0.089826064
239,452,4,450,min,0.028196081,0.133363629,0.099266218,0.545540362,0.038649977
240,452,4,450,max,0.047728114,0.185436994,0.138791933,0.642024539,0.141002152
241,456,4,454,mean,0.041874351,0.107232606,0.135057113,0.486941848,0.228894081
242,456,4,454,min,0.03022958,0.063159193,0.116413717,0.41276471,0.126723955
243,456,4,454,max,0.053519122,0.15130602,0.15370051,0.561118986,0.331064207
244,458,2,457,mean,0.056838006,0.055534787,0.147471443,0.401604361,0.338551402
245,458,2,457,min,0.038670986,0.035960194,0.125236816,0.37089776,0.313217459
246,458,2,457,max,0.075005027,0.075109381,0.169706071,0.432310963,0.363885345
247,461,3,459.5,mean,0.097781239,0.033586016,0.179314642,0.34460713,0.344710973
248,461,3,459.5,min,0.06066936,0.017881999,0.144887022,0.30257848,0.317244945
249,461,3,459.5,max,0.134893118,0.049290033,0.213742262,0.386635781,0.372177001
250,466,5,463.5,mean,0.175794393,0.02223053,0.311995846,0.258720665,0.231258567
251,466,5,463.5,min,0.128807146,0.012804605,0.181366999,0.19032371,0.126565739
252,466,5,463.5,max,0.222781639,0.031656454,0.442624693,0.327117619,0.335951395
253,480,14,473,mean,0.218037383,0.021968551,0.568283637,0.109060228,0.0826502
254,480,14,473,min,0.192611613,0.012030199,0.488488915,0.047760392,0.042401916
255,480,14,473,max,0.243463154,0.031906902,0.64807836,0.170360065,0.122898485
256,492,12,486,mean,0.193174109,0.015836795,0.475542575,0.122769124,0.192677397
257,492,12,486,min,0.167816611,0.006444971,0.348698908,0.051524696,0.10706105
258,492,12,486,max,0.218531606,0.025228618,0.602386243,0.194013553,0.278293744
259,498,6,495,mean,0.171796469,0.038035652,0.359707511,0.256654552,0.173805815
260,498,6,495,min,0.151651103,0.018598629,0.321974647,0.194174756,0.131788523
261,498,6,495,max,0.191941836,0.057472676,0.397440375,0.319134347,0.215823107
262,500,2,499,mean,0.170711319,0.05029595,0.320399792,0.322860852,0.135732087
263,500,2,499,min,0.151272354,0.038086908,0.292207511,0.296985694,0.116693417
264,500,2,499,max,0.190150284,0.062504992,0.348592074,0.348736009,0.154770757
265,502,2,501,mean,0.204086189,0.042923157,0.273748702,0.350529595,0.128712357
266,502,2,501,min,0.174709378,0.031463762,0.236254622,0.326761646,0.109610993
267,502,2,501,max,0.233463,0.054382552,0.311242782,0.374297544,0.147813721
268,504,2,503,mean,0.260867082,0.03076324,0.218873313,0.369350987,0.120145379
269,504,2,503,min,0.22020573,0.01969611,0.181143607,0.346715327,0.100422923
270,504,2,503,max,0.301528434,0.04183037,0.256603018,0.391986646,0.139867835
271,506,2,505,mean,0.341780893,0.017798546,0.170114226,0.370093458,0.100212876
272,506,2,505,min,0.295668347,0.007986257,0.140826174,0.348318309,0.079424627
273,506,2,505,max,0.387893439,0.027610836,0.199402278,0.391868607,0.121001126
274,508,2,507,mean,0.423691589,0.008764278,0.139844237,0.347263759,0.080436137
275,508,2,507,min,0.375354957,0.001894633,0.119234933,0.316780828,0.061844145
276,508,2,507,max,0.472028221,0.015633924,0.160453541,0.37774669,0.099028129
277,510,2,509,mean,0.504257529,0.005721703,0.129792316,0.291796469,0.068431983
278,510,2,509,min,0.461701529,0.001246544,0.11284563,0.251958429,0.054714101
279,510,2,509,max,0.546813528,0.010196862,0.146739002,0.331634509,0.082149865
280,511,1,510.5,mean,0.543260644,0.004818276,0.125815161,0.256874351,0.069231568
281,511,1,510.5,min,0.52353208,0.000722473,0.107181422,0.23372754,0.054090167
282,511,1,510.5,max,0.562989208,0.008914079,0.1444489,0.280021162,0.084372969
283,518,7,514.5,mean,0.555150571,0.005413143,0.112247441,0.230554814,0.096634031
284,518,7,514.5,min,0.534503938,0.000420652,0.091489444,0.205856714,0.059110597
285,518,7,514.5,max,0.575797204,0.010405635,0.133005438,0.255252913,0.134157464
286,532,14,525,mean,0.453394155,0.012541166,0.089287939,0.233091529,0.21168521
287,532,14,525,min,0.316138072,0.003215861,0.068510183,0.185796109,0.10888942
288,532,14,525,max,0.590650239,0.021866471,0.110065696,0.28038695,0.314481
289,548,16,540,mean,0.22799325,0.04392134,0.092540239,0.300628245,0.334916926
290,548,16,540,min,0.172822024,0.01402363,0.07379023,0.281507643,0.307424557
291,548,16,540,max,0.283164476,0.073819049,0.111290248,0.319748847,0.362409296
