"","edge","span","mid","micro","amb","ratio","den","num","quad","upper","lower"
"28",294,1,293.5,0.457113188,0.542886812,0.457113188,0.0378641440704769,0.0286726707989721,0.0334917277007345,0.490604915700735,0.423621460299266
"29",295,1,294.5,0.519989616,0.480010384,0.519989616,0.0408627659435677,0.0307074062896573,0.0373420861498787,0.557331702149879,0.482647529850121
"30",296,1,295.5,0.581547248,0.418452752,0.581547248,0.0388514310665478,0.0285272567970519,0.0363908042286852,0.617938052228685,0.545156443771315
"31",300,4,298,0.623712358,0.376287642,0.623712358,0.119365398442048,0.104287482024329,0.128135213288258,0.751847571288258,0.495577144711742
"32",305,5,302.5,0.700832815,0.299167185,0.700832815,0.304675587728055,0.292515398782385,0.362158651289145,1,0.338674163710855
"33",306,1,305.5,0.803561786,0.196438214,0.803561786,0.0321690748945699,0.0252608430745735,0.0361431097644641,0.839704895764464,0.767418676235536
"34",308,2,307,0.817824507,0.182175493,0.817824507,0.0542204522469629,0.0490005969432488,0.0660858813207836,0.883910388320784,0.751738625679216
"35",309,1,308.5,0.840726895,0.159273105,0.840726895,0.028885298424132,0.0221018995315427,0.0328365353716748,0.873563430371675,0.807890359628325
"36",319,10,314,0.901275182,0.098724818,0.901275182,0.0912262173893777,0.0836846667097841,0.11731683434734,1,0.78395834765266
"37",330,11,324.5,0.823763806,0.176236194,0.823763806,0.217240055711888,0.176356588252939,0.251249592118853,1,0.572514213881147
"38",332,2,331,0.568084112,0.431915888,0.568084112,0.121388073976429,0.0989853835256886,0.120637472039108,0.688721584039108,0.447446639960892
"39",336,4,334,0.343543614,0.656456386,0.343543614,0.225858721161707,0.191542032197163,0.206661361715848,0.550204975715848,0.136882252284152
"40",338,2,337,0.222897196,0.777102804,0.222897196,0.0529677536203979,0.0417690951762485,0.0434056164232871,0.266302812423287,0.179491579576713
"41",340,2,339,0.226121496,0.773878504,0.226121496,0.0570445971503737,0.0461390250325108,0.0479081838604589,0.274029679860459,0.178213312139541
"42",344,4,342,0.305630841,0.694369159,0.305630841,0.1819018242837,0.0565356912332915,0.07929102728625,0.38492186828625,0.22633981371375
"43",350,6,347,0.310700935,0.689299066,0.310700934689299,0.173276342807698,0.0706729911869818,0.0888431614544873,0.399544096143786,0.221857773234812
"44",351,1,350.5,0.192949117,0.807050883,0.192949117,0.0350273192397597,0.0213232270877727,0.0223686656914929,0.215317782691493,0.170580451308507
"45",354,3,352.5,0.325129802,0.674870197,0.32512980232513,0.502515540964521,0.340210742418959,0.377408640404827,0.702538442729957,0
"46",356,2,355,0.432326064,0.567673936,0.432326064,0.352941960121236,0.284909545729104,0.323196440604027,0.755522504604027,0.109129623395973
"47",358,2,357,0.330347872,0.669652129,0.330347871669652,0.0940040450071007,0.0645659303387287,0.0716457431696313,0.401993614839283,0.258702128500021
"48",362,4,360,0.541788681,0.458211319,0.541788681,0.157282492327526,0.105839618167256,0.135880201304436,0.677668882304436,0.405908479695564
"49",366,4,364,0.250173899,0.749826064,0.250173908256435,0.112982630703149,0.0719885080017798,0.0773386919109487,0.327512600167383,0.172835216345486
"50",368,2,367,0.29358257,0.706417446,0.293582565302679,0.0468727294275145,0.0322984228945972,0.0351077434117306,0.32869030871441,0.258474821890948
"51",369,1,368.5,0.304548286,0.695451713,0.304548286304548,0.0386318664425022,0.028217767043872,0.0305722738262623,0.335120560130811,0.273976012478286
"52",370,1,369.5,0.290602284,0.709397715,0.290602284290602,0.0347471190738122,0.0259116742758289,0.0278096428071891,0.318411927097791,0.262792641483413
"53",372,2,371,0.279153686,0.720846313,0.279153686279154,0.0407852844570183,0.0336452068416388,0.0355193809805943,0.314673067259748,0.243634305298559
"54",374,2,373,0.269055036,0.730944963,0.269055036269055,0.0563766695857119,0.0332183191873412,0.0365176382905093,0.305572674559564,0.232537397978546
"55",376,2,375,0.247471444,0.752528557,0.247471443752529,0.0813000266905266,0.0339609965305458,0.0394732940889836,0.286944737841512,0.207998149663545
"56",377,1,376.5,0.246562825,0.753437176,0.246562824753437,0.0372332669450696,0.0243918109163677,0.026062215394259,0.272625040147696,0.220500609359178
"57",378,1,377.5,0.276593977,0.723406023,0.276593977,0.0420724663170068,0.0275348013218419,0.0298928894265205,0.306486866426521,0.246701087573479
"58",380,2,379,0.356433021,0.643566978,0.356433021356433,0.15846191438731,0.0998228249618791,0.11469396856783,0.471126989924263,0.241739052788603
"59",382,2,381,0.394781931,0.605218068,0.394781931394782,0.0757888703341547,0.0415304098057246,0.0511857981098727,0.445967729504655,0.343596133284909
"60",383,1,382.5,0.357601247,0.642398754,0.357601246642399,0.0409916385373137,0.0298110181952814,0.0332200714508812,0.39082131809328,0.324381175191517
"61",384,1,383.5,0.369408099,0.6305919,0.369408099369408,0.0365974922931089,0.0256972206484265,0.029036556258834,0.398444655628242,0.340371543110574
"62",385,1,384.5,0.421692627,0.578307373,0.421692627,0.0403157401195909,0.0278430576854704,0.0326230711959474,0.454315698195947,0.389069555804053
"63",386,1,385.5,0.483136033,0.516863967,0.483136033,0.040945260856051,0.028327641249918,0.0345512367612859,0.517687269761286,0.448584796238714
"64",388,2,387,0.58219107,0.41780893,0.58219107,0.127889647389318,0.0796764359197152,0.109050730149074,0.691241800149074,0.473140339850926
